NAME, STATE, LATITUDE, LONGITUDE, COMMENT
Jog Falls, Karnataka, 14.229, 74.810, 253m Sharavathi River highest plunge India
Nohkalikai Falls, Meghalaya, 25.275, 91.684, 340m tallest plunge India
Dudhsagar Falls, Goa, 15.314, 74.314, 310m Mandovi River
Athirappilly Falls, Kerala, 10.285, 76.569, Chalakudy River Niagara India
Hogenakkal Falls, Tamil Nadu, 12.117, 77.775, Kaveri River smoky rocks
Shivanasamudra Falls, Karnataka, 12.297, 77.168, Kaveri River hydroelectric
Chitrakote Falls, Chhattisgarh, 19.207, 81.702, Niagara of India Indravati
Kempty Falls, Uttarakhand, 30.489, 78.018, Mussoorie tourism
Bhagsu Falls, Himachal Pradesh, 32.241, 76.324, Dharamshala region
Talakona Falls, Andhra Pradesh, 13.792, 79.216, highest Andhra Pradesh
Courtallam Falls, Tamil Nadu, 8.930, 77.275, spa waterfalls
Hundru Falls, Jharkhand, 23.440, 85.623, Subarnarekha River
Barehipani Falls, Odisha, 21.929, 86.372, 399m Simlipal NP
Kunchikal Falls, Karnataka, 14.135, 74.830, 455m highest India overall
Dhuandhar Falls, Madhya Pradesh, 23.130, 79.800, Narmada marble rocks
Soochipara Falls, Kerala, 11.542, 76.144, Wayanad rainforest
Meenmutty Falls, Kerala, 11.545, 76.142, three tier waterfall
Teerathgarh Falls, Chhattisgarh, 18.851, 81.914, Kanger Valley NP
Langshiang Falls, Meghalaya, 25.436, 91.364, among tallest India
Hebbe Falls, Karnataka, 13.317, 75.438, Western Ghats forest