QUESTION, LATITUDE, LONGITUDE, YEAR, MONTH, LEVEL, COMMENT
The newly elected President Claudia Sheinbaum belongs to which country?,19.433,-99.133,2025,January,1,Country: Mexico; State: Mexico City; North America capital
Which country hosted the 2025 World Economic Forum in Davos?,46.802,9.836,2025,January,1,Country: Switzerland; State: Graubunden; Alpine town
The ceasefire talks between Israel and Hamas were held in which countryâ€™s capital Doha?,25.286,51.533,2025,February,2,Country: Qatar; State: Doha; Persian Gulf region
The expansion of BRICS in 2025 included Ethiopia located in which region of Africa?,8.980,38.757,2025,February,2,Country: Ethiopia; State: Addis Ababa; Horn of Africa
The Arctic security summit was held in Reykjavik of which country?,64.147,-21.942,2025,March,2,Country: Iceland; State: Reykjavik; North Atlantic island
The eruption of Mount Etna occurred in which European country?,37.751,14.993,2025,March,2,Country: Italy; State: Sicily; Mediterranean volcano
The G20 meeting in Rio de Janeiro was hosted by which country?,-22.906,-43.172,2025,April,1,Country: Brazil; State: Rio de Janeiro; Atlantic coast
The new semiconductor plant announced in Dresden is located in which country?,51.050,13.738,2025,April,2,Country: Germany; State: Saxony; Central Europe
The presidential elections held in Jakarta were conducted in which country?,-6.208,106.845,2025,May,1,Country: Indonesia; State: Jakarta; Southeast Asia
The Indo-Pacific naval exercise conducted near Guam is under which US territory?,13.444,144.793,2025,May,3,Country: USA; State: Guam; Western Pacific island
The peace agreement signed in Juba is located in which country?,4.859,31.571,2025,June,2,Country: South Sudan; State: Juba; Nile basin
The COP30 preparatory meeting was held in Belem of which country?,-1.455,-48.503,2025,June,2,Country: Brazil; State: Para; Amazon delta
The earthquake near Sendai struck which country?,38.268,140.869,2025,July,2,Country: Japan; State: Miyagi; Pacific Ring of Fire
The African Union summit in Addis Ababa belongs to which country?,8.980,38.757,2025,July,1,Country: Ethiopia; State: Addis Ababa; AU headquarters
The new oil discovery in Guyana is located on which continent?,6.801,-58.155,2025,August,2,Country: Guyana; State: Georgetown; South America Atlantic coast
The ASEAN summit held in Vientiane belongs to which country?,17.975,102.633,2025,August,2,Country: Laos; State: Vientiane; Mekong basin
The NATO summit in Washington was hosted in which country?,38.907,-77.037,2025,September,1,Country: USA; State: Washington DC; North America
The wildfire emergency declared in British Columbia occurred in which country?,49.282,-123.120,2025,September,2,Country: Canada; State: British Columbia; Pacific coast
The launch of Artemis mission took place from Cape Canaveral in which country?,28.573,-80.649,2025,October,2,Country: USA; State: Florida; Atlantic coast
The political crisis in Tbilisi occurred in which country?,41.715,44.827,2025,October,2,Country: Georgia; State: Tbilisi; Caucasus region
The new capital Nusantara is being developed in which country?,-0.950,116.650,2025,November,2,Country: Indonesia; State: East Kalimantan; Borneo island
The climate summit in Nairobi was hosted by which country?,-1.292,36.822,2025,November,1,Country: Kenya; State: Nairobi; East Africa plateau
The major floods in Dhaka affected which country?,23.810,90.412,2025,December,1,Country: Bangladesh; State: Dhaka; Ganga Brahmaputra delta
The Red Sea security talks were held in Jeddah of which country?,21.543,39.172,2025,December,2,Country: Saudi Arabia; State: Mecca Province; Red Sea coast
The expansion of Panama Canal trade routes affects which Central American country?,9.080,-79.680,2026,January,2,Country: Panama; State: Panama Canal Zone; Atlantic Pacific link
The presidential inauguration in Taipei belongs to which country?,25.033,121.565,2026,January,2,Country: Taiwan; State: Taipei; East Asia island
The EU summit held in Brussels belongs to which country?,50.850,4.351,2026,February,1,Country: Belgium; State: Brussels; Western Europe
The mining reforms announced in Santiago belong to which country?,-33.448,-70.669,2026,February,2,Country: Chile; State: Santiago; Andes region
The South China Sea talks in Manila belong to which country?,14.599,120.984,2026,March,3,Country: Philippines; State: Manila; Western Pacific
The flood crisis in Jakarta occurred in which country?,-6.208,106.845,2026,March,1,Country: Indonesia; State: Jakarta; Java island
The World Bank meeting in Marrakech belongs to which country?,31.629,-7.981,2026,April,2,Country: Morocco; State: Marrakech; North Africa
The elections in Islamabad belong to which country?,33.684,73.047,2026,April,1,Country: Pakistan; State: Islamabad; South Asia
The drought crisis in Harare belongs to which country?,-17.829,31.053,2026,May,2,Country: Zimbabwe; State: Harare; Southern Africa plateau
The earthquake near Istanbul struck which country?,41.008,28.978,2026,May,2,Country: Turkey; State: Istanbul; Bosporus strait
The peace talks in Bogota belong to which country?,4.711,-74.072,2026,June,2,Country: Colombia; State: Bogota; Andes region
The renewable energy summit in Copenhagen belongs to which country?,55.676,12.568,2026,June,1,Country: Denmark; State: Copenhagen; Nordic region
The volcanic activity near Reykjavik occurred in which country?,64.147,-21.942,2026,July,2,Country: Iceland; State: Reykjavik; Mid Atlantic ridge
The ASEAN defense summit in Hanoi belongs to which country?,21.028,105.854,2026,July,2,Country: Vietnam; State: Hanoi; Southeast Asia
The cyber security summit in Tallinn belongs to which country?,59.437,24.753,2026,August,2,Country: Estonia; State: Tallinn; Baltic region
The oil summit in Abu Dhabi belongs to which country?,24.453,54.377,2026,August,1,Country: UAE; State: Abu Dhabi; Persian Gulf
The presidential election in Buenos Aires belongs to which country?,-34.603,-58.382,2026,September,1,Country: Argentina; State: Buenos Aires; South America
The climate protests in Stockholm occurred in which country?,59.329,18.068,2026,September,1,Country: Sweden; State: Stockholm; Scandinavia
The earthquake near Lima struck which country?,-12.046,-77.043,2026,October,2,Country: Peru; State: Lima; Pacific coast
The UN summit in New York belongs to which country?,40.713,-74.006,2026,October,1,Country: USA; State: New York; North America
The border agreement signed in Kathmandu belongs to which country?,27.717,85.324,2026,November,2,Country: Nepal; State: Kathmandu; Himalayas
The naval exercise in Colombo belongs to which country?,6.927,79.861,2026,November,2,Country: Sri Lanka; State: Colombo; Indian Ocean
The new trade corridor announced in Riyadh belongs to which country?,24.713,46.675,2026,December,2,Country: Saudi Arabia; State: Riyadh; Arabian Peninsula
The G7 summit in Rome belongs to which country?,41.902,12.496,2026,December,1,Country: Italy; State: Rome; Southern Europe
The presidential transition ceremony in Seoul took place in which country?,37.566,126.978,2025,January,1,Country: South Korea; State: Seoul; East Asia peninsula
The economic reform summit in Abuja was hosted by which country?,9.076,7.398,2025,February,1,Country: Nigeria; State: Abuja; West Africa
The cyclone emergency declared in Maputo affected which country?,-25.969,32.573,2025,March,2,Country: Mozambique; State: Maputo; Indian Ocean coast
The peacekeeping conference in Vienna belongs to which country?,48.208,16.373,2025,April,1,Country: Austria; State: Vienna; Central Europe
The parliamentary elections in Bangkok were conducted in which country?,13.756,100.502,2025,May,1,Country: Thailand; State: Bangkok; Southeast Asia
The energy summit in Oslo belongs to which country?,59.913,10.752,2025,June,1,Country: Norway; State: Oslo; Scandinavian Peninsula
The major landslide near Quito occurred in which country?,-0.180,-78.468,2025,July,2,Country: Ecuador; State: Quito; Andes mountains
The constitutional reforms announced in Warsaw belong to which country?,52.229,21.012,2025,August,1,Country: Poland; State: Warsaw; Eastern Europe
The regional security talks in Kuala Lumpur belong to which country?,3.139,101.686,2025,September,2,Country: Malaysia; State: Kuala Lumpur; Malay Peninsula
The humanitarian summit in Geneva was hosted by which country?,46.204,6.143,2025,October,1,Country: Switzerland; State: Geneva; Alpine region
The border negotiations in Ulaanbaatar belong to which country?,47.886,106.906,2025,November,2,Country: Mongolia; State: Ulaanbaatar; Central Asia plateau
The financial forum in Hong Kong belongs to which country?,22.319,114.169,2025,December,2,Country: China; State: Hong Kong; South China Sea coast
The wildfire crisis in Athens occurred in which country?,37.983,23.727,2026,January,2,Country: Greece; State: Athens; Mediterranean basin
The presidential election in Nairobi belongs to which country?,-1.292,36.822,2026,February,1,Country: Kenya; State: Nairobi; East African plateau
The major dam project announced in Cairo belongs to which country?,30.044,31.235,2026,March,2,Country: Egypt; State: Cairo; Nile valley
The climate resilience summit in Manila belongs to which country?,14.599,120.984,2026,April,2,Country: Philippines; State: Manila; Pacific archipelago
The earthquake preparedness drill in Mexico City belongs to which country?,19.433,-99.133,2026,May,2,Country: Mexico; State: Mexico City; North America
The diplomatic talks in Tehran belong to which country?,35.689,51.389,2026,June,2,Country: Iran; State: Tehran; Middle East plateau
The defense agreement signed in Canberra belongs to which country?,-35.280,149.130,2026,July,1,Country: Australia; State: Canberra; Oceania continent
The economic corridor meeting in Dhaka belongs to which country?,23.810,90.412,2026,August,1,Country: Bangladesh; State: Dhaka; Delta region
The summit on Arctic cooperation in Helsinki belongs to which country?,60.169,24.938,2026,September,2,Country: Finland; State: Helsinki; Baltic Sea
The peace dialogue in Belgrade belongs to which country?,44.787,20.449,2026,October,2,Country: Serbia; State: Belgrade; Balkan Peninsula
The infrastructure forum in Addis Ababa belongs to which country?,8.980,38.757,2026,November,1,Country: Ethiopia; State: Addis Ababa; Horn of Africa
The maritime exercise near Singapore was conducted in which country?,1.352,103.820,2026,December,2,Country: Singapore; State: Singapore; Strait of Malacca
The parliamentary elections in Madrid belong to which country?,40.417,-3.704,2025,January,1,Country: Spain; State: Madrid; Iberian Peninsula
The renewable energy agreement in Lisbon belongs to which country?,38.722,-9.139,2025,February,2,Country: Portugal; State: Lisbon; Atlantic coast
The trade summit in Brussels belongs to which country?,50.850,4.351,2025,March,1,Country: Belgium; State: Brussels; EU headquarters
The coastal flooding in Jakarta occurred in which country?,-6.208,106.845,2025,April,2,Country: Indonesia; State: Jakarta; Java island
The presidential address in Pretoria belongs to which country?,-25.747,28.229,2025,May,1,Country: South Africa; State: Pretoria; Southern Africa
The security conference in Munich belongs to which country?,48.135,11.582,2025,June,1,Country: Germany; State: Bavaria; Central Europe
The cyclone warning issued in Suva belongs to which country?,-18.124,178.450,2025,July,2,Country: Fiji; State: Suva; South Pacific islands
The infrastructure reforms in Ottawa belong to which country?,45.421,-75.697,2025,August,1,Country: Canada; State: Ottawa; North America
The border talks in Hanoi belong to which country?,21.028,105.854,2025,September,2,Country: Vietnam; State: Hanoi; Southeast Asia
The parliamentary elections in Rome belong to which country?,41.902,12.496,2025,October,1,Country: Italy; State: Rome; Mediterranean region
The maritime security summit in Colombo belongs to which country?,6.927,79.861,2025,November,2,Country: Sri Lanka; State: Colombo; Indian Ocean
The earthquake near Kathmandu struck which country?,27.717,85.324,2025,December,2,Country: Nepal; State: Kathmandu; Himalayan region
The new development bank meeting in Shanghai belongs to which country?,31.230,121.474,2026,January,2,Country: China; State: Shanghai; East China Sea
The climate protest in Berlin occurred in which country?,52.520,13.405,2026,February,1,Country: Germany; State: Berlin; Central Europe
The regional cooperation summit in Tashkent belongs to which country?,41.299,69.240,2026,March,2,Country: Uzbekistan; State: Tashkent; Central Asia
The oil export agreement in Kuwait City belongs to which country?,29.375,47.977,2026,April,2,Country: Kuwait; State: Kuwait City; Persian Gulf
The presidential election in Paris belongs to which country?,48.857,2.352,2026,May,1,Country: France; State: Paris; Western Europe
The flood emergency declared in Yangon belongs to which country?,16.840,96.173,2026,June,2,Country: Myanmar; State: Yangon; Irrawaddy delta
The trade corridor summit in Almaty belongs to which country?,43.222,76.851,2026,July,2,Country: Kazakhstan; State: Almaty; Central Asia
The naval drill in Busan belongs to which country?,35.179,129.075,2026,August,2,Country: South Korea; State: Busan; Korean Peninsula
The diplomatic meeting in Havana belongs to which country?,23.113,-82.366,2026,September,2,Country: Cuba; State: Havana; Caribbean Sea
The defense summit in Ankara belongs to which country?,39.933,32.859,2026,October,2,Country: Turkey; State: Ankara; Anatolia region
The climate adaptation forum in Reykjavik belongs to which country?,64.147,-21.942,2026,November,2,Country: Iceland; State: Reykjavik; North Atlantic
The presidential oath ceremony in Lima belongs to which country?,-12.046,-77.043,2026,December,1,Country: Peru; State: Lima; Pacific coast