NP_NAME,STATE/UT,LATITUDE,LONGITUDE,COMMENT
Shiroi NP,Manipur,25.1007,94.4547,Famous for the rare Shirui Lily found only on these peaks.
Intanki NP,Nagaland,25.5798,93.4556,Known for its large Elephant population and Hoolock Gibbons.
Raimona NP,Assam,26.6858,90.1466,Assam's 6th National Park; known for Golden Langurs.
Bandipur NP,Karnataka,11.7717,76.4835,Major Tiger Reserve; part of the Nilgiri Biosphere Reserve.
Anshi NP,Karnataka,15.0110,74.3648,Also known as Kali Tiger Reserve; rich in black panthers.
Indravati NP,Chhattisgarh,19.0324,80.5827,Famous for its population of rare Wild Water Buffaloes.
Nagarahole NP,Karnataka,12.0568,76.1538,High density of Tigers and Elephants; part of Project Tiger.
Campbell Bay NP,Andaman & Nicobar,7.1167,93.7659,Located on Great Nicobar Island; home to Megapode birds.
Galathea Bay NP,Andaman & Nicobar,6.9189,93.8372,Crucial nesting ground for Giant Leatherback turtles.
Rani Jhansi Marine NP,Andaman & Nicobar,12.1464,93.0689,Protects coral reefs and diverse marine ecosystems.
Saddle Peak NP,Andaman & Nicobar,13.1621,93.0195,Surrounds the highest point of the Andaman Islands.
Mahatma Gandhi Marine NP,Andaman & Nicobar,11.5809,92.5467,Wandoor marine life sanctuary with coral viewing.
Mount Harriet NP,Andaman & Nicobar,11.7967,92.7565,Rich in endemic butterflies and diverse bird species.
Gulf of Mannar NP,Tamil Nadu,9.2426,79.1978,First Marine Biosphere Reserve in South East Asia.
Mudumalai NP,Tamil Nadu,11.6594,76.5098,Crucial wildlife corridor between Western and Eastern Ghats.
Guindy NP,Tamil Nadu,12.9994,80.2276,One of the few national parks located inside a city (Chennai).
Eravikulam NP,Kerala,10.2293,77.0774,Home to the largest population of endangered Nilgiri Tahr.
Anamudi Shola NP,Kerala,10.1941,77.1783,Unique high-altitude shola-grassland ecosystem.
Indira Gandhi (Annamalai) NP,Tamil Nadu,10.2995,77.2893,Top slip destination; preserves unique Western Ghats flora.
Mukurthi NP,Tamil Nadu,11.2301,76.4754,Created specifically to protect the Nilgiri Tahr.
Periyar NP,Kerala,9.5304,77.1848,Centered around a man-made lake; famous for Elephant safaris.
Silent Valley NP,Kerala,11.1420,76.4366,One of the last undisturbed tracts of tropical rainforest.
Kudremukh NP,Karnataka,13.2300,75.2119,Famous for Lion-tailed Macaques and montane grasslands.
Bannerghatta NP,Karnataka,12.5481,77.5260,Houses a biological park and a popular butterfly conservatory.
Papikonda NP,Andhra Pradesh,17.5007,81.4655,Located along the scenic Godavari River basin.
Sri Venkateswara NP,Andhra Pradesh,13.7154,79.3810,Known for Red Sanders and the Slender Loris.
Simlipal NP,Odisha,21.6714,86.3083,Famous for Tigers and the only home to "Melanistic" (black) tigers.
Bhitarkanika NP,Odisha,20.6613,86.9294,India's second largest mangrove forest; famous for Saltwater Crocs.
Namdapha NP,Arunachal Pradesh,27.4864,96.6352,Only park featuring four big cats: Tiger, Leopard, Snow & Clouded Leopard.
Kaziranga NP,Assam,26.6485,93.3492,World's largest population of One-horned Rhinos; UNESCO site.
Clouded Leopard NP,Tripura,23.6704,91.3203,Dedicated to the conservation of the rare Clouded Leopard.
Keibul-Lamjao NP,Manipur,24.4875,93.8414,World's only floating national park; home to Sangai (Dancing) Deer.
Manas NP,Assam,26.7055,90.9230,UNESCO site; known for Pygmy Hog and Golden Langur.
Panna NP,Madhya Pradesh,24.6196,79.9449,UNESCO Biosphere Reserve; known for Tiger reintroduction.
Gir NP,Gujarat,21.1256,70.7529,The only remaining natural habitat of the Asiatic Lion.
Blackbuck NP,Gujarat,22.0428,72.0537,Famous for its expansive grasslands and blackbuck population.
Kuno NP,Madhya Pradesh,25.7554,77.2020,Site of the historic Cheetah reintroduction project in India.
Tadoba NP,Maharashtra,20.1117,79.3493,Maharashtra's oldest and largest national park; Tiger stronghold.
Corbett NP,Uttarakhand,29.5251,78.9427,India's first National Park (est. 1936 as Hailey NP).
Hemis NP,Ladakh,33.7767,77.3872,India's largest national park; world capital of the Snow Leopard.
Sunderban NP,West Bengal,21.7652,88.9551,World's largest mangrove forest and home to Royal Bengal Tigers.