Peak_Name,Height(m),State/UT,Latitude,Longitude,Significance
Kangchenjunga,8586,Sikkim,27.7025,88.1475,Highest undisputed peak in India; third highest in the world.
Nanda Devi,7816,Uttarakhand,30.3753,79.9706,Highest peak situated entirely within India; UNESCO World Heritage site.
Kamet,7756,Uttarakhand,30.9208,79.5933,Highest peak of the Zanskar Range; located near the Tibetan plateau.
Saser Kangri,7672,Ladakh,34.8667,77.7500,Highest peak in the Saser Muztagh (Karakoram sub-range).
Trisul I,7120,Uttarakhand,30.3131,79.7761,Significant for its trident shape; popular landmark in Kumaon region.
Chaukhamba I,7138,Uttarakhand,30.7458,79.2847,Highest peak in the Gangotri Group; source region of the Bhagirathi.
Nun,7135,Ladakh,34.0789,76.0219,Part of the famous Nun-Kun massif; highest peak in the Zanskar range.
Reo Purgyil,6816,Himachal Pradesh,31.8842,78.7308,The highest mountain peak in the state of Himachal Pradesh.
Kangto,7060,Arunachal Pradesh,27.8653,92.5303,Highest peak in Arunachal Pradesh; located in the Eastern Himalayas.
Saramati,3841,Nagaland,25.7417,95.0347,Highest peak of the Naga Hills; forms the natural border with Myanmar.
Anamudi,2695,Kerala,10.1691,77.0628,Highest peak in South India and the Western Ghats; "Everest of South India".
Doddabetta,2637,Tamil Nadu,11.4003,76.7356,Highest point in the Nilgiri Hills where Western and Eastern Ghats meet.
Guru Shikhar,1722,Rajasthan,24.6500,72.7667,Highest peak of the Aravalli Range; oldest fold mountain range in India.
Dhupgarh,1350,Madhya Pradesh,22.4500,78.3667,Highest point of the Satpura Range; located in Pachmarhi.
Sad-bhawna Shikhar,752,Madhya Pradesh,23.8583,79.7347,Highest point of the Vindhya Range (also known as Goodwill Peak).
Mullayanagiri,1930,Karnataka,13.3917,75.7214,Highest peak in Karnataka; part of the Baba Budan Giri hills.
Kalsubai,1646,Maharashtra,19.6011,73.7117,Highest peak in Maharashtra; often called the "Sahyadri Everest".
Jindhagada Peak,1690,Andhra Pradesh,18.2167,82.8833,The highest peak of the Eastern Ghats.
Deomali,1672,Odisha,18.6700,82.9800,Highest mountain peak in Odisha; part of the Chandragiri-Pottangi subrange.
Sandakphu,3636,West Bengal,27.1058,88.0014,Highest peak in West Bengal; offers a view of four 8,000m summits.
Phawngpui,2157,Mizoram,22.6314,93.0378,Known as the Blue Mountain; highest point in the state of Mizoram.
Shillong Peak,1965,Meghalaya,25.5333,91.8500,Highest point of the Khasi Hills and the Meghalaya Plateau.
Parasnath,1366,Jharkhand,23.9631,86.1264,Highest peak in Jharkhand; major Jain pilgrimage site (Sammed Shikhar).
Saddle Peak,732,Andaman & Nicobar,13.1611,93.0167,Highest point of the Andaman and Nicobar Islands (North Andaman).
Mount Harriet,383,Andaman & Nicobar,11.7167,92.7333,High point in South Andaman; featured on the old â‚¹20 note.
Betlingchhip,930,Tripura,23.9722,92.2611,Highest peak of the Jampui Hills in Tripura.
Doli Gutta,965,Telangana,18.3417,80.4333,Highest peak in Telangana; located on the border with Chhattisgarh.
Girnar,1145,Gujarat,21.5283,70.5281,Highest point in Gujarat; volcanic origin and major pilgrimage site.
Agastyamalai,1868,Kerala/TN,8.6189,77.2436,A UNESCO Biosphere Reserve peak; source of the Thamirabarani River.
Mahendragiri,1501,Odisha,18.9667,84.3667,Geographically significant peak in the southern Eastern Ghats.