PEAK_NAME,LATITUDE,LONGITUDE,HEIGHT_METERS,COMMENT
Guru Shikhar,24.6500,72.7667,1722,Highest peak of Rajasthan and the Aravalli Range; located in Sirohi.
Ser,24.5833,72.7167,1597,Second highest peak in Rajasthan; located in Sirohi district.
Dilwara,24.5910,72.7120,1442,Significant high peak in Sirohi; known for its Jain temples.
Jaraga Parvat,24.7167,73.5333,1431,Highest peak in the Udaipur-Rajsamand region.
Achalgarh,24.6167,72.7500,1380,Historical peak with a fort built by Maharana Kumbha in Sirohi.
Kumbhalgarh,25.1482,73.5873,1224,Site of the historic fort; second highest wall in the world (Rajsamand).
Raghunathgarh,27.6534,75.3522,1055,Highest peak of the Northern Aravallis; located in Sikar.
Hrishikesh,24.5333,72.6833,1017,Prominent peak in Sirohi district near Mount Abu.
Kamal Nath,24.4333,73.5167,1001,Notable peak in the Southern Aravalli range (Udaipur).
Sajjangarh,24.5908,73.6385,938,Known as the 'Monsoon Palace' peak overlooking Udaipur.
Kho,27.0167,75.9000,920,Significant peak in the Jaipur hill range.
Taragarh,26.4430,74.6210,873,Highest point of the Central Aravallis in Ajmer.
Nag Pahar,26.4667,74.5833,795,Located between Ajmer and Pushkar; source of Sagarmati river.
Bhairach,27.4833,76.4167,792,Major peak in the Alwar hills (Northern Aravallis).
Babai,28.0167,75.8333,780,Prominent peak located in the Jhunjhunu district.
Bairath,27.4500,76.1833,704,Ancient site in Jaipur with Buddhist and Ashokan history.
Jai-Garh,26.9850,75.8510,648,Strategic hilltop in Jaipur; houses the world's largest cannon.
Nahargarh,26.9380,75.8230,599,Fortress peak providing a panoramic view of Jaipur city.