WILDLIFE_CENTURY_NAME,LATITUDE,LONGITUDE,COMMENT
Band Baretha Wildlife Sanctuary,26.9,77.38,Known for its ancient dam and variety of bird species including several migratory ones.
Bassi Wildlife Sanctuary,25.0,74.75,Features scenic dams like Bassi and Orai; habitat for panthers and wild boars.
Bhensrodgarh Wildlife Sanctuary,24.95,75.58,Located at the confluence of the Chambal and Brahmani rivers; known for its rugged beauty.
Darrah Wildlife Sanctuary,24.85,75.85,Former hunting ground of the Maharajas of Kota; part of the Mukundara Hills landscape.
Desert National Park Sanctuary,26.78,70.53,One of the largest protected areas in India; home to the endangered Great Indian Bustard.
Phulwari ki Naal Wildlife Sanctuary,24.35,73.28,Nestled in the Aravalli range; source of the Wakal and Mansi rivers; rich in floral diversity.
Jaisamand Wildlife Sanctuary,24.27,73.95,Surrounds the famous Jaisamand Lake; historical game reserve of the Mewar rulers.
Jamwa Ramgarh Wildlife Sanctuary,27.02,76.01,Popular for its artificial lake and dense forest area near the capital city of Jaipur.
Jawahar Sagar Wildlife Sanctuary,25.05,75.68,Part of the Chambal River ecosystem; significant for the conservation of crocodiles and gharials.
Kailadevi Wildlife Sanctuary,26.33,76.95,Acts as a critical buffer zone for the Ranthambore National Park; rugged terrain with diverse wildlife.
Kesarbagh Wildlife Sanctuary,26.65,77.8,A compact sanctuary in Dholpur district; offers a tranquil habitat for local fauna.
Kumbhalgarh Wildlife Sanctuary,25.13,73.55,Famous for the majestic Kumbalgarh Fort and its population of the Indian Wolf.
Mount Abu Wildlife Sanctuary,24.6,72.71,The only hill station sanctuary in Rajasthan; home to unique orchids and the sloth bear.
Nahargarh Wildlife Sanctuary,26.98,75.83,Provides an essential green lung for Jaipur; features a biological park with lions and tigers.
National Chambal Ghariyal Sanctuary,26.77,78.64,A unique tri-state riverine sanctuary dedicated to protecting the critically endangered Gharial.
Ramgarh Vishdhari Wildlife Sanctuary,25.55,75.6,Serves as a vital corridor for tigers moving between Ranthambore and Mukundara Hills.
Ramsagar Wildlife Sanctuary,26.7,77.75,A peaceful wetland sanctuary near Dholpur; attracts numerous migratory waterbirds in winter.
Sajjangarh Wildlife Sanctuary,24.59,73.64,Located on a hilltop overlooking Udaipur; famously known as the backdrop to the Monsoon Palace.
Sariska Wildlife Sanctuary,27.33,76.43,Famous for being the first reserve to successfully relocate tigers; rich in Aravalli biodiversity.
Sawai Mansingh Wildlife Sanctuary,26.01,76.45,Integral part of the Ranthambore tiger landscape; rugged hills and diverse carnivore species.
Shergarh Wildlife Sanctuary,24.75,76.75,Named after the historical Shergarh Fort; known for its scenic riverine and forest landscape.
Sitamata Wildlife Sanctuary,24.15,74.4,Only sanctuary in India where the Flying Squirrel can be spotted; rich teak and bamboo forests.
Tal Chhapar Wildlife Sanctuary,27.81,74.43,A unique grassland ecosystem in the Thar desert; famous for its large population of Blackbucks.
Todgarh Raoli Wildlife Sanctuary,25.68,73.94,Spans across three districts in the Aravallis; offers a diverse habitat for leopards and sloth bears.
Van Vihar Wildlife Sanctuary,26.7,77.85,A picturesque sanctuary in Dholpur; once the favorite retreat of the royal family.
Gajner Wildlife Sanctuary,27.95,73.05,Located near Bikaner; a lush green oasis in the desert known for its lake and migratory birds.
Machiya Safari Park,26.3,72.95,A popular spot near Jodhpur for observing desert wildlife like foxes and monitor lizards.