COUNTRY,CONTINENT,SUB_CONTINENT,CAPITAL,LONGITUDE,LATTITUDE,LANGUAGE,COMMENT
Afghanistan,Asia,South Asia,Kabul,69.172,34.529,Pashto;Dari,Heart of Asia; historic crossroads of the Silk Road.
Albania,Europe,Southeast Europe,Tirana,19.819,41.328,Albanian,Known for its unique language and Ottoman-era architecture.
Algeria,Africa,North Africa,Algiers,3.059,36.753,Arabic;Berber;French,Largest country in Africa by land area.
Andorra,Europe,Southern Europe,Andorra la Vella,1.521,42.506,Catalan,Co-principality located in the Pyrenees mountains.
Angola,Africa,Central Africa,Luanda,13.234,-8.839,Portuguese,Major oil and diamond producer in Sub-Saharan Africa.
Antigua and Barbuda,North America,Caribbean,St. John's,-61.845,17.118,English,Famous for having 365 distinct beaches.
Argentina,South America,South America,Buenos Aires,-58.381,-34.604,Spanish,"Home to Mt. Aconcagua, the highest peak in the Americas."
Armenia,Asia,Western Asia,Yerevan,44.509,40.178,Armenian,One of the world's oldest civilizations; first to adopt Christianity.
Australia,Oceania,Australasia,Canberra,149.128,-35.281,English,Only country that is also a continent.
Austria,Europe,Western Europe,Vienna,16.374,48.208,German,Famous for its musical heritage and Alpine landscapes.
Azerbaijan,Asia,Western Asia,Baku,49.867,40.409,Azerbaijani,Known as the Land of Fire due to natural gas vents.
Bahamas,North America,Caribbean,Nassau,-77.343,25.044,English,Archipelago of over 700 islands and cays.
Bahrain,Asia,Western Asia,Manama,50.586,26.228,Arabic,Island nation in the Persian Gulf; ancient Dilmun civilization.
Bangladesh,Asia,South Asia,Dhaka,90.412,23.811,Bengali,Home to the world's largest river delta and mangrove forest.
Barbados,North America,Caribbean,Bridgetown,-59.613,13.097,English,Easternmost island in the Caribbean; birthplace of rum.
Belarus,Europe,Eastern Europe,Minsk,27.561,53.9,Belarusian;Russian,Landlocked nation known for Stalinist architecture.
Belgium,Europe,Western Europe,Brussels,4.352,50.85,Dutch;French;German,Headquarters of the European Union and NATO.
Belize,North America,Central America,Belmopan,-88.767,17.25,English,"Home to the Belize Barrier Reef, a UNESCO site."
Benin,Africa,West Africa,Porto-Novo,2.628,6.497,French,Birthplace of the Voodoo religion and Dahomey Kingdom.
Bhutan,Asia,South Asia,Thimphu,89.639,27.471,Dzongkha,Only carbon-negative country; uses Gross National Happiness index.
Bolivia,South America,South America,La Paz,-68.119,-16.489,Spanish;Quechua;Aymara,"Home to Salar de Uyuni, the world's largest salt flat."
Bosnia and Herzegovina,Europe,Southeast Europe,Sarajevo,18.413,43.856,Bosnian;Croatian;Serbian,Known for its bridge in Mostar and multicultural history.
Botswana,Africa,Southern Africa,Gaborone,25.923,-24.654,English;Setswana,Home to the Okavango Delta and Chobe National Park.
Brazil,South America,South America,Brasília,-47.929,-15.78,Portuguese,Largest country in South America; home to the Amazon.
Brunei,Asia,Southeast Asia,Bandar Seri Begawan,114.94,4.89,Malay,Oil-rich sultanate on the island of Borneo.
Bulgaria,Europe,Southeast Europe,Sofia,23.324,42.698,Bulgarian,One of the oldest European states; famous for rose oil.
Burkina Faso,Africa,West Africa,Ouagadougou,-1.534,12.371,French,Landlocked nation known for its vibrant music and film culture.
Burundi,Africa,East Africa,Gitega,29.925,-3.427,Kirundi;French,Landlocked nation in the African Great Lakes region.
Cambodia,Asia,Southeast Asia,Phnom Penh,104.917,11.556,Khmer,"Home to Angkor Wat, the largest religious monument in the world."
Cameroon,Africa,Central Africa,Yaoundé,11.517,3.867,French;English,Known as Africa in Miniature for its diverse geography.
Canada,North America,North America,Ottawa,-75.697,45.421,English;French,Second largest country by area; longest coastline in the world.
Cape Verde,Africa,West Africa,Praia,-23.509,14.918,Portuguese,Volcanic archipelago in the central Atlantic Ocean.
Central African Republic,Africa,Central Africa,Bangui,18.558,4.361,Sango;French,Rich in mineral resources including diamonds and gold.
Chad,Africa,Central Africa,N'Djamena,15.044,12.113,Arabic;French,Home to the Ennedi Massif and Lake Chad.
Chile,South America,South America,Santiago,-70.669,-33.449,Spanish,Longest north-south country; contains the Atacama Desert.
China,Asia,East Asia,Beijing,116.407,39.904,Mandarin,Oldest continuous civilization; world's second-largest economy.
Colombia,South America,South America,Bogotá,-74.072,4.711,Spanish,World's leading producer of emeralds and high-quality coffee.
Comoros,Africa,East Africa,Moroni,43.255,-11.717,Comorian;Arabic;French,Known as the Perfume Isles for fragrant plant exports.
"Congo, Democratic Republic",Africa,Central Africa,Kinshasa,15.313,-4.322,French,"Home to the Congo Rainforest, the world's second largest."
"Congo, Republic",Africa,Central Africa,Brazzaville,15.283,-4.266,French,Covered mostly by tropical rainforest and wetland.
Costa Rica,North America,Central America,San José,-84.079,9.928,Spanish,World leader in environmental sustainability and biodiversity.
Croatia,Europe,Southeast Europe,Zagreb,15.982,45.815,Croatian,"Famous for its stunning Adriatic coastline and 1,000+ islands."
Cuba,North America,Caribbean,Havana,-82.367,23.113,Spanish,Largest island in the Caribbean; famous for cigars and music.
Cyprus,Asia,Western Asia,Nicosia,33.367,35.167,Greek;Turkish,Legendary birthplace of Aphrodite; strategic Mediterranean hub.
Czech Republic,Europe,Central Europe,Prague,14.438,50.076,Czech,Known for its medieval castles and historic beer culture.
Denmark,Europe,Northern Europe,Copenhagen,12.568,55.676,Danish,Oldest continuous monarchy; birthplace of Lego.
Djibouti,Africa,East Africa,Djibouti City,43.148,11.589,Arabic;French,Located on the Bab-el-Mandeb strait; strategic military hub.
Dominica,North America,Caribbean,Roseau,-61.385,15.301,English,The Nature Isle of the Caribbean; home to Boiling Lake.
Dominican Republic,North America,Caribbean,Santo Domingo,-69.892,18.486,Spanish,Site of the first cathedral and university in the New World.
Ecuador,South America,South America,Quito,-78.468,-0.181,Spanish,Named after the Equator; home to the Galapagos Islands.
Egypt,Africa,North Africa,Cairo,31.236,30.044,Arabic,Home to the Pyramids and the ancient Nile civilization.
El Salvador,North America,Central America,San Salvador,-89.218,13.693,Spanish,Known as the Land of Volcanoes; smallest Central American nation.
Equatorial Guinea,Africa,Central Africa,Malabo,8.783,3.75,Spanish;French;Portuguese,Only African country where Spanish is an official language.
Eritrea,Africa,East Africa,Asmara,38.931,15.333,Tigrinya;Arabic;English,Known for its well-preserved Italian modernist architecture.
Estonia,Europe,Northern Europe,Tallinn,24.754,59.437,Estonian,World leader in e-government and digital innovation.
Eswatini,Africa,Southern Africa,Mbabane,31.133,-26.317,Swazi;English,One of the few remaining absolute monarchies in Africa.
Ethiopia,Africa,East Africa,Addis Ababa,38.747,9.025,Amharic,Only African nation never colonized; birthplace of coffee.
Fiji,Oceania,Melanesia,Suva,178.442,-18.142,English;Fijian;Hindi,Archipelago famous for coral reefs and soft-sand beaches.
Finland,Europe,Northern Europe,Helsinki,24.938,60.169,Finnish;Swedish,Ranked happiest country; known as the Land of a Thousand Lakes.
France,Europe,Western Europe,Paris,2.352,48.857,French,World's most visited country; famous for food and art.
Gabon,Africa,Central Africa,Libreville,9.454,0.416,French,Stable and oil-rich nation with vast protected rainforests.
Gambia,Africa,West Africa,Banjul,-16.578,13.453,English,"Smallest country on mainland Africa, centered on the Gambia River."
Georgia,Asia,Western Asia,Tbilisi,44.833,41.717,Georgian,Birthplace of wine; located at the crossroads of Europe and Asia.
Germany,Europe,Western Europe,Berlin,13.405,52.52,German,Europe's largest economy; famous for engineering and history.
Ghana,Africa,West Africa,Accra,-0.187,5.604,English,First sub-Saharan nation to gain independence; major cocoa producer.
Greece,Europe,Southern Europe,Athens,23.728,37.984,Greek,Cradle of Western civilization and the Olympic Games.
Grenada,North America,Caribbean,St. George's,-61.749,12.056,English,The Spice Isle; world's top producer of nutmeg and mace.
Guatemala,North America,Central America,Guatemala City,-90.507,14.635,Spanish,Heart of the Mayan civilization; home to Tikal ruins.
Guinea,Africa,West Africa,Conakry,-13.677,9.537,French,Major world producer of bauxite (aluminum ore).
Guinea-Bissau,Africa,West Africa,Bissau,-15.598,11.863,Portuguese,Known for the Bijagos archipelago and carnivals.
Guyana,South America,South America,Georgetown,-58.155,6.801,English,Only English-speaking country in South America.
Haiti,North America,Caribbean,Port-au-Prince,-72.333,18.539,French;Haitian Creole,First black-led republic; gained independence in 1804.
Honduras,North America,Central America,Tegucigalpa,-87.207,14.072,Spanish,Home to the Copan Mayan ruins and Mesoamerican Barrier Reef.
Hungary,Europe,Central Europe,Budapest,19.04,47.498,Hungarian,Known for its thermal baths and unique non-Indo-European language.
Iceland,Europe,Northern Europe,Reykjavík,-21.943,64.147,Icelandic,Land of Fire and Ice; powered almost entirely by green energy.
India,Asia,South Asia,New Delhi,77.209,28.614,Hindi;English,Largest democracy; home to the ancient Indus Valley Civilization.
Indonesia,Asia,Southeast Asia,Jakarta,106.846,-6.209,Indonesian,World's largest archipelago and most populous Muslim-majority nation.
Iran,Asia,Western Asia,Tehran,51.389,35.689,Persian,Successor to the Persian Empire; home to 20+ UNESCO sites.
Iraq,Asia,Western Asia,Baghdad,44.366,33.315,Arabic;Kurdish,Cradle of Civilization (Mesopotamia) between Tigris and Euphrates.
Ireland,Europe,Western Europe,Dublin,-6.26,53.349,Irish;English,"The Emerald Isle; famous for literature, saints, and scholars."
Israel,Asia,Western Asia,Jerusalem,35.214,31.768,Hebrew;Arabic,Modern tech hub; contains sites sacred to three major religions.
Italy,Europe,Southern Europe,Rome,12.496,41.903,Italian,Home to the most UNESCO World Heritage sites in the world.
Ivory Coast,Africa,West Africa,Yamoussoukro,-5.273,6.828,French,World's largest producer of cocoa beans.
Jamaica,North America,Caribbean,Kingston,-76.793,17.971,English,Birthplace of Reggae music and world-class sprinters.
Japan,Asia,East Asia,Tokyo,139.65,35.676,Japanese,Leader in technology and robotics; rich cultural traditions.
Jordan,Asia,Western Asia,Amman,35.928,31.945,Arabic,Home to the ancient city of Petra and the Dead Sea.
Kazakhstan,Asia,Central Asia,Astana,71.449,51.169,Kazakh;Russian,World's largest landlocked country.
Kenya,Africa,East Africa,Nairobi,36.822,-1.292,Swahili;English,Safari capital of the world; home to the Maasai Mara.
Kiribati,Oceania,Micronesia,South Tarawa,172.972,1.329,English;Kiribati,Only country situated in all four hemispheres.
Kuwait,Asia,Western Asia,Kuwait City,47.978,29.376,Arabic,Has one of the highest-valued currencies in the world.
Kyrgyzstan,Asia,Central Asia,Bishkek,74.592,42.875,Kyrgyz;Russian,Mountainous nation known for the Tien Shan range.
Laos,Asia,Southeast Asia,Vientiane,102.633,17.967,Lao,Only landlocked country in Southeast Asia.
Latvia,Europe,Northern Europe,Riga,24.105,56.949,Latvian,Famous for its Art Nouveau architecture in the capital.
Lebanon,Asia,Western Asia,Beirut,35.502,33.894,Arabic;French,Historic center of trade; known for the ancient cedars.
Lesotho,Africa,Southern Africa,Maseru,27.483,-29.317,Sesotho;English,Completely surrounded by South Africa; the Kingdom in the Sky.
Liberia,Africa,West Africa,Monrovia,-10.797,6.301,English,"Africa's oldest modern republic, founded by freed American slaves."
Libya,Africa,North Africa,Tripoli,13.191,32.887,Arabic,Home to the largest proven oil reserves in Africa.
Liechtenstein,Europe,Western Europe,Vaduz,9.521,47.141,German,Doubly landlocked Alpine principality.
Lithuania,Europe,Northern Europe,Vilnius,25.279,54.687,Lithuanian,Largest of the Baltic states; last in Europe to adopt Christianity.
Luxembourg,Europe,Western Europe,Luxembourg City,6.132,49.612,Luxembourgish;French;German,Has the world's highest GDP per capita (PPP).
Madagascar,Africa,East Africa,Antananarivo,47.523,-18.879,Malagasy;French,Home to 5% of global biodiversity; unique lemur species.
Malawi,Africa,East Africa,Lilongwe,33.787,-13.963,English;Chewa,Known as the Warm Heart of Africa; home to Lake Malawi.
Malaysia,Asia,Southeast Asia,Kuala Lumpur,101.687,3.139,Malay,Split between Peninsular Malaysia and Malaysian Borneo.
Maldives,Asia,South Asia,Malé,73.509,4.175,Dhivehi,World's lowest country; famous for overwater bungalows.
Mali,Africa,West Africa,Bamako,-8.0,12.639,French,Once home to the wealthy Mali Empire and Timbuktu.
Malta,Europe,Southern Europe,Valletta,14.515,35.899,Maltese;English,Archipelago with some of the world's oldest free-standing structures.
Marshall Islands,Oceania,Micronesia,Majuro,171.385,7.113,Marshallese;English,Site of extensive US nuclear testing at Bikini Atoll.
Mauritania,Africa,West Africa,Nouakchott,-15.979,18.085,Arabic,Bridge between Arab North Africa and Sub-Saharan Africa.
Mauritius,Africa,East Africa,Port Louis,57.502,-20.161,English;French,Former home of the extinct Dodo bird; tropical paradise.
Mexico,North America,North America,Mexico City,-99.133,19.433,Spanish,Cradle of the Aztec and Mayan civilizations.
Micronesia,Oceania,Micronesia,Palikir,158.161,6.918,English,Consists of 600+ islands across the western Pacific.
Moldova,Europe,Eastern Europe,Chisinau,28.858,47.006,Romanian,Known for its rich wine-making tradition and huge cellars.
Monaco,Europe,Western Europe,Monaco,7.413,43.733,French,Second smallest country; known for high luxury and gambling.
Mongolia,Asia,East Asia,Ulaanbaatar,106.883,47.886,Mongolian,World's most sparsely populated sovereign state.
Montenegro,Europe,Southeast Europe,Podgorica,19.26,42.431,Montenegrin,Young state known for the Bay of Kotor and mountains.
Morocco,Africa,North Africa,Rabat,-6.836,34.021,Arabic;Berber,Has both Atlantic and Mediterranean coastlines; Atlas Mountains.
Mozambique,Africa,East Africa,Maputo,32.573,-25.969,Portuguese,"Has over 2,500km of coastline on the Indian Ocean."
Myanmar,Asia,Southeast Asia,Naypyidaw,96.079,19.763,Burmese,Land of Pagodas; home to the ancient city of Bagan.
Namibia,Africa,Southern Africa,Windhoek,17.083,-22.56,English,"Contains the Namib Desert, the world's oldest desert."
Nauru,Oceania,Micronesia,Yaren,166.921,-0.548,Nauruan;English,World's smallest island nation and smallest republic.
Nepal,Asia,South Asia,Kathmandu,85.324,27.717,Nepali,"Home to 8 of the 10 highest mountains, including Everest."
Netherlands,Europe,Western Europe,Amsterdam,4.895,52.367,Dutch,"Famous for tulips, windmills, and engineering land from the sea."
New Zealand,Oceania,Australasia,Wellington,174.776,-41.287,English;Maori,First nation to give women the vote; stunning landscapes.
Nicaragua,North America,Central America,Managua,-86.236,12.115,Spanish,Largest country in Central America; Land of Lakes and Volcanoes.
Niger,Africa,West Africa,Niamey,2.11,13.512,French,Landlocked nation; 80% of its land is covered by the Sahara.
Nigeria,Africa,West Africa,Abuja,7.495,9.076,English,Most populous country in Africa; massive film industry (Nollywood).
North Korea,Asia,East Asia,Pyongyang,125.763,39.039,Korean,Highly centralized and isolated state in East Asia.
North Macedonia,Europe,Southeast Europe,Skopje,21.428,41.998,Macedonian;Albanian,Birthplace of Mother Teresa; former Yugoslav republic.
Norway,Europe,Northern Europe,Oslo,10.752,59.914,Norwegian,"Famous for its fjords, midnight sun, and Viking history."
Oman,Asia,Western Asia,Muscat,58.406,23.585,Arabic,Oldest independent state in the Arab world.
Pakistan,Asia,South Asia,Islamabad,73.048,33.684,Urdu;English,Home to K2 and the ancient Mohenjo-Daro ruins.
Palau,Oceania,Micronesia,Ngerulmud,134.624,7.5,English;Palauan,Known for Jellyfish Lake and world-class diving.
Panama,North America,Central America,Panama City,-79.519,8.983,Spanish,Famous for the Panama Canal connecting two oceans.
Papua New Guinea,Oceania,Melanesia,Port Moresby,147.18,-9.444,English;Tok Pisin;Hiri Motu,Most linguistically diverse country; over 800 languages.
Paraguay,South America,South America,Asunción,-57.636,-25.263,Spanish;Guarani,Landlocked nation known as the Heart of South America.
Peru,South America,South America,Lima,-77.043,-12.046,Spanish;Quechua,Center of the Inca Empire; home to Machu Picchu.
Philippines,Asia,Southeast Asia,Manila,120.984,14.599,Filipino;English,"Archipelago of 7,641 islands; major outsourcing hub."
Poland,Europe,Central Europe,Warsaw,21.012,52.23,Polish,Birthplace of Copernicus and Marie Curie.
Portugal,Europe,Southern Europe,Lisbon,-9.139,38.722,Portuguese,Pioneer of the Age of Discovery; famous for Fado music.
Qatar,Asia,Western Asia,Doha,51.531,25.285,Arabic,Highest per capita income world-wide; major natural gas exporter.
Romania,Europe,Southeast Europe,Bucharest,26.103,44.427,Romanian,Home to the Carpathian Mountains and legend of Dracula.
Russia,Europe/Asia,Eastern Europe/Northern Asia,Moscow,37.617,55.756,Russian,Largest country in the world by surface area.
Rwanda,Africa,East Africa,Kigali,30.062,-1.944,Kinyarwanda;French;English,Known as the Land of a Thousand Hills.
Saint Kitts and Nevis,North America,Caribbean,Basseterre,-62.718,17.298,English,Smallest sovereign state in the Western Hemisphere.
Saint Lucia,North America,Caribbean,Castries,-61.0,14.017,English,"Known for the Pitons, twin volcanic peaks."
Saint Vincent and the Grenadines,North America,Caribbean,Kingstown,-61.225,13.158,English,Filming location for many Pirate-themed movies.
Samoa,Oceania,Polynesia,Apia,-171.767,-13.833,Samoan;English,Known for its traditional Fa'a Samoa way of life.
San Marino,Europe,Southern Europe,San Marino,12.446,43.933,Italian,"World's oldest republic, founded in 301 AD."
Sao Tome and Principe,Africa,Central Africa,São Tomé,6.727,0.33,Portuguese,Volcanic island nation on the equator.
Saudi Arabia,Asia,Western Asia,Riyadh,46.739,24.714,Arabic,Birthplace of Islam; home to Mecca and Medina.
Senegal,Africa,West Africa,Dakar,-17.444,14.694,French;Wolof,Westernmost point of mainland Africa.
Serbia,Europe,Southeast Europe,Belgrade,20.449,44.787,Serbian,Birthplace of Nikola Tesla; situated at Danube/Sava confluence.
Seychelles,Africa,East Africa,Victoria,55.451,-4.619,Seselwa;French;English,Archipelago of 115 islands in the Indian Ocean.
Sierra Leone,Africa,West Africa,Freetown,-13.234,8.484,English;Krio,Founded as a refuge for freed slaves; rich in diamonds.
Singapore,Asia,Southeast Asia,Singapore,103.819,1.352,English;Malay;Mandarin;Tamil,Leading global financial hub and garden city.
Slovakia,Europe,Central Europe,Bratislava,17.107,48.149,Slovak,Known for its mountains and numerous castles.
Slovenia,Europe,Central Europe,Ljubljana,14.506,46.056,Slovenian,Greenest country in Europe; home to Lake Bled.
Solomon Islands,Oceania,Melanesia,Honiara,159.973,-9.446,English;Pijin,Scene of major WWII battles in the Pacific.
Somalia,Africa,East Africa,Mogadishu,45.337,2.043,Somali;Arabic,Has the longest coastline on the African mainland.
South Africa,Africa,Southern Africa,Pretoria,28.188,-25.748,Zulu;Xhosa;Afrikaans;English;+7,Known as the Rainbow Nation for its cultural diversity.
South Korea,Asia,East Asia,Seoul,126.978,37.567,Korean,Leader in electronics and K-pop global culture.
South Sudan,Africa,East Africa,Juba,31.579,4.852,English,"World's youngest sovereign state, independent since 2011."
Spain,Europe,Southern Europe,Madrid,-3.704,40.417,Spanish,"Famous for flamenco, architecture, and festivals."
Sri Lanka,Asia,South Asia,Colombo,79.861,6.927,Sinhala;Tamil,The Pearl of the Indian Ocean; ancient Buddhist sites.
Sudan,Africa,North Africa,Khartoum,32.56,15.501,Arabic;English,Home to more pyramids than Egypt (Nubian pyramids).
Suriname,South America,South America,Paramaribo,-55.204,5.852,Dutch,Smallest sovereign state in South America; mostly rainforest.
Sweden,Europe,Northern Europe,Stockholm,18.069,59.329,Swedish,"Famous for Nobel Prizes, ABBA, and flat-pack furniture."
Switzerland,Europe,Western Europe,Bern,7.447,46.948,German;French;Italian;Romansh,"Famous for neutrality, banking, and the Alps."
Syria,Asia,Western Asia,Damascus,36.291,33.514,Arabic,Damascus is one of the oldest continuously inhabited cities.
Taiwan,Asia,East Asia,Taipei,121.565,25.033,Mandarin,Global leader in semiconductor manufacturing.
Tajikistan,Asia,Central Asia,Dushanbe,68.783,38.536,Tajik,Over 90% mountainous; home to the Pamir Highway.
Tanzania,Africa,East Africa,Dodoma,35.752,-6.173,Swahili;English,Home to Mt. Kilimanjaro and the Serengeti.
Thailand,Asia,Southeast Asia,Bangkok,100.502,13.756,Thai,Only Southeast Asian nation never colonized by Europeans.
Timor-Leste,Asia,Southeast Asia,Dili,125.574,-8.557,Tetum;Portuguese,One of only two predominantly Christian nations in Asia.
Togo,Africa,West Africa,Lomé,1.213,6.137,French,Known for its hilly landscapes and lagoon coastline.
Tonga,Oceania,Polynesia,Nukuʻalofa,-175.202,-21.139,Tongan;English,The only Pacific nation never to have lost its indigenous governance.
Trinidad and Tobago,North America,Caribbean,Port of Spain,-61.517,10.667,English,"Birthplace of steelpan, calypso, and the limbo dance."
Tunisia,Africa,North Africa,Tunis,10.166,36.807,Arabic;French,Site of ancient Carthage; gateway to the Sahara.
Turkey,Europe/Asia,Western Asia/Southeast Europe,Ankara,32.854,39.933,Turkish,Straddles two continents; home to Istanbul.
Turkmenistan,Asia,Central Asia,Ashgabat,58.383,37.95,Turkmen,Home to the Darvaza gas crater (Door to Hell).
Tuvalu,Oceania,Polynesia,Funafuti,179.194,-8.521,Tuvaluan;English,One of the nations most vulnerable to rising sea levels.
Uganda,Africa,East Africa,Kampala,32.582,0.348,English;Swahili,The Pearl of Africa; source of the White Nile.
Ukraine,Europe,Eastern Europe,Kyiv,30.523,50.45,Ukrainian,Europe's breadbasket; largest country entirely in Europe.
United Arab Emirates,Asia,Western Asia,Abu Dhabi,54.367,24.454,Arabic,Federation of seven emirates; home to Burj Khalifa.
United Kingdom,Europe,Northern Europe,London,-0.128,51.507,English,Former global empire; birthplace of Industrial Revolution.
United States,North America,North America,"Washington, D.C.",-77.036,38.895,English,World's largest economy; influential global cultural force.
Uruguay,South America,South America,Montevideo,-56.164,-34.901,Spanish,Known for its social progressiveness and quality of life.
Uzbekistan,Asia,Central Asia,Tashkent,69.24,41.292,Uzbek,One of only two doubly landlocked countries.
Vanuatu,Oceania,Melanesia,Port Vila,168.327,-17.733,Bislama;English;French,Archipelago known for active volcanoes and kava.
Vatican City,Europe,Southern Europe,Vatican City,12.453,41.903,Italian;Latin,Smallest country in the world; home to the Pope.
Venezuela,South America,South America,Caracas,-66.903,10.481,Spanish,"Home to Angel Falls, the world's highest waterfall."
Vietnam,Asia,Southeast Asia,Hanoi,105.834,21.028,Vietnamese,Known for its stunning bays and resilient history.
Yemen,Asia,Western Asia,Sana'a,44.207,15.355,Arabic,Ancient center of coffee trade (Mocha).
Zambia,Africa,Southern Africa,Lusaka,28.287,-15.417,English,Home to Victoria Falls on the Zambezi River.
Zimbabwe,Africa,Southern Africa,Harare,31.05,-17.825,English;Shona;Ndebele,Home to Great Zimbabwe ruins and Victoria Falls.